"X","decision_factors_decision_factors_party","decision_factors_decision_factors_personalvalues","decision_factors_decision_factors_experts","decision_factors_decision_factors_constituents","accuracy","accuracy_response","preference","preference_response","familiarity","partisan_bias","partisan_diss","pid_3","gov_exp","pid_indep","Staffer","area","ideo5","issue","republican","liberal","age","female","republican_alignment","democrat_alignment","deference_experts","deference_party","deference_personalvalues","deference_constituents","accuracy_3","treated","accuracy_bin","issue_full","Level","weight","Population_bin","Education_bin","Urban_bin","Voteshare_bin"
33,0,1,1,0.75,0.75,-0.25,0.333,0,0.67,0,"Neither party is more likely than the other to support the use of needle exchanges","Democrat",33,NA,0,"local area","Somewhat conservative","NEP",0,0,NA,NA,0,0,0.5,-0.5,0.5,0.25,"Informed",0,1,"Needle Exchange","municipality",2.29876260014031e-14,"low","low","HIGH","low"
34,0.5,0.5,0.75,0.75,0.75,0.25,1,0,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",8,NA,1,"district","Very liberal","NEP",0,1,39,0,0,1,0.25,0,0,0.25,"Informed",0,1,"Needle Exchange","state",1.13431075911112,"HIGH","HIGH","HIGH","HIGH"
35,0,0.75,1,0.5,1,NA,1,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",9,NA,1,"district","Somewhat liberal","NEP",0,1,32,0,0,1,0.625,-0.375,0.375,0.125,"Informed",1,1,"Needle Exchange","state",0.78064721381666,"HIGH","low","low","low"
36,0.25,0.25,0.75,0.75,0.75,NA,0.667,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Republican",5,NA,1,"district","Very conservative","NEP",1,0,30,0,0,1,0.5,0,0,0.5,"Informed",1,1,"Needle Exchange","state",0.640666014731827,"HIGH","HIGH","HIGH","HIGH"
37,0.25,0.75,0.75,1,1,NA,1,NA,1,0,"Democrats are more likely to support the use of needle exchanges","Democrat",30,NA,1,"district","Moderate, middle of the road","NEP",0,0,57,0,0,1,0.25,-0.25,0.25,0.5,"Informed",1,1,"Needle Exchange","state",0.523381605575244,"HIGH","HIGH","HIGH","low"
38,0.25,0.75,1,0.5,1,NA,0.833,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Republican",34,NA,1,"district","Moderate, middle of the road","NEP",1,0,59,1,0,1,0.5,-0.25,0.25,0,"Informed",1,1,"Needle Exchange","state",1.63544038152595,"low","HIGH","low",NA
39,0.5,0.5,1,0.25,1,NA,1,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",4,NA,1,"district","Very liberal","NEP",0,1,64,1,0,1,0.5,0,0,-0.25,"Informed",1,1,"Needle Exchange","state",0.468682528429356,"HIGH","HIGH","HIGH","low"
40,0.25,0.75,0.5,0.5,0.75,NA,0.5,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Republican",2,NA,1,"district","Very conservative","NEP",1,0,25,0,0,1,0,-0.25,0.25,0,"Informed",1,1,"Needle Exchange","state",1.13431075911112,"HIGH","HIGH","HIGH","low"
41,0,0.75,0.75,0.75,1,NA,0.833,NA,0.67,1,"Democrats are more likely to support the use of needle exchanges","Independent",3,"Republican Party",1,"district","Somewhat liberal","NEP",1,1,NA,NA,0,1,0.375,-0.375,0.375,0.375,"Informed",1,1,"Needle Exchange","state",1,NA,NA,NA,NA
42,0.5,0,1,0.5,1,NA,0.5,NA,0.67,0,"Neither party is more likely than the other to support the use of needle exchanges","Independent",7,"Republican Party",0,"county","Moderate, middle of the road","NEP",1,0,65,0,0,0,0.75,0.25,-0.25,0.25,"Informed",1,1,"Needle Exchange","county",2.0669032285051,"low","low",NA,"HIGH"
43,0.75,0.5,0.75,0.5,0.5,NA,0.5,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",25,NA,1,"district","Somewhat liberal","NEP",0,1,NA,0,0,1,0.125,0.125,-0.125,-0.125,"Unsure",1,0,"Needle Exchange","state",1,NA,NA,NA,NA
44,1,0.75,0.5,0.75,0,0,1,-0.5,0.33,0,"Neither party is more likely than the other to support the use of needle exchanges","Republican",8,NA,0,"county","Very conservative","NEP",1,0,NA,NA,0,0,-0.375,0.125,-0.125,-0.125,"Misinformed",0,0,"Needle Exchange","county",2.0669032285051,"low","low",NA,"HIGH"
45,0.5,1,0.75,1,0.75,NA,0.5,NA,0,0,"Democrats are more likely to support the use of needle exchanges","Republican",8,NA,1,"district","Very conservative","NEP",1,0,30,0,0,1,0,-0.25,0.25,0.25,"Informed",1,1,"Needle Exchange","state",1.6663495146893,"low","low","low",NA
46,0.75,0.75,1,0.75,0,NA,0.833,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",4,NA,0,"local area","Very liberal","NEP",0,1,NA,NA,0,1,0.25,0,0,0,"Misinformed",1,0,"Needle Exchange","township",9.34530940872844e-15,"low","HIGH","HIGH","low"
47,0,0.25,0.75,0.5,0.75,0.25,1,0,1,0,"Democrats are more likely to support the use of needle exchanges","Democrat",3,NA,1,"district","Very liberal","NEP",0,1,25,1,0,1,0.625,-0.125,0.125,0.375,"Informed",0,1,"Needle Exchange","state",0.550565942447265,"HIGH","low","HIGH",NA
48,0,1,1,0.5,1,0,1,0,1,0,"Democrats are more likely to support the use of needle exchanges","Democrat",30,NA,0,"local area","Somewhat liberal","NEP",0,1,NA,NA,0,1,0.5,-0.5,0.5,0,"Informed",0,1,"Needle Exchange","municipality",9.34530940872844e-15,"low","HIGH","HIGH","low"
49,0.25,0.75,0.75,0.75,0.75,-0.25,0.833,-0.166,0,0,"Neither party is more likely than the other to support the use of needle exchanges","Republican",20,NA,0,"county","Very conservative","NEP",1,0,63,0,0,0,0.25,-0.25,0.25,0.25,"Informed",0,1,"Needle Exchange","county",2.0669032285051,"low","low",NA,"HIGH"
50,0,0.5,1,0.5,1,0,0.833,0.167,0.33,0,"Democrats are more likely to support the use of needle exchanges","Independent",23,"Democratic Party",1,"district","Somewhat liberal","NEP",0,1,71,1,0,1,0.75,-0.25,0.25,0.25,"Informed",0,1,"Needle Exchange","state",1.11719694762459,"low","HIGH","HIGH",NA
51,0.25,1,0.75,0.75,1,NA,1,NA,0.67,0,"Republicans are more likely to support the use of needle exchanges","Republican",10,NA,0,"district","Somewhat conservative","NEP",1,0,NA,NA,1,0,0.125,-0.375,0.375,0.125,"Informed",1,1,"Needle Exchange","state",1,NA,NA,NA,NA
52,0.25,0.75,1,1,0.25,0.75,0.667,0.166,1,0,"Democrats are more likely to support the use of needle exchanges","Republican",5,NA,1,"district","Very conservative","NEP",1,0,31,0,0,1,0.5,-0.25,0.25,0.5,"Misinformed",0,0,"Needle Exchange","state",1,NA,NA,NA,NA
53,0.25,0.5,1,1,1,0,0.5,0,0,0,"Democrats are more likely to support the use of needle exchanges","Democrat",1,NA,1,"district","Somewhat liberal","NEP",0,1,25,1,0,1,0.625,-0.125,0.125,0.625,"Informed",0,1,"Needle Exchange","state",1,NA,NA,NA,NA
54,0.5,0.75,1,0.25,1,NA,1,NA,1,0,"Democrats are more likely to support the use of needle exchanges","Democrat",4,NA,1,"district","Somewhat liberal","NEP",0,1,30,0,0,1,0.375,-0.125,0.125,-0.375,"Informed",1,1,"Needle Exchange","state",0.468682528429356,"HIGH","HIGH","HIGH","low"
55,0.5,0.25,1,1,0.75,0,0.833,0,0.67,0,"Democrats are more likely to support the use of needle exchanges","Republican",5,NA,1,"district","Somewhat conservative","NEP",1,0,29,1,0,1,0.625,0.125,-0.125,0.625,"Informed",0,1,"Needle Exchange","state",0.468682528429356,"HIGH","HIGH","HIGH","low"
56,0.25,0.75,0.75,0.75,0.75,NA,0.333,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Republican",20,NA,1,"district","Moderate, middle of the road","NEP",1,0,62,1,0,1,0.25,-0.25,0.25,0.25,"Informed",1,1,"Needle Exchange","state",0.78064721381666,"HIGH","low","low","low"
57,0,0.5,1,0.75,1,0,0.833,0,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",1,NA,1,"district","Somewhat liberal","NEP",0,1,27,0,0,1,0.75,-0.25,0.25,0.5,"Informed",0,1,"Needle Exchange","state",0.468682528429356,"HIGH","HIGH","low","low"
58,0.25,0.75,1,0.5,1,NA,0.833,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",4,NA,1,"district","Very liberal","NEP",0,1,NA,NA,0,1,0.5,-0.25,0.25,0,"Informed",1,1,"Needle Exchange","state",1,NA,NA,NA,NA
59,0.25,0.75,1,0.5,0.5,0.5,0.833,0,0,0,"Democrats are more likely to support the use of needle exchanges","Democrat",11,NA,1,"district","Somewhat liberal","NEP",0,1,63,1,0,1,0.5,-0.25,0.25,0,"Unsure",0,0,"Needle Exchange","state",1,NA,NA,NA,NA
60,0.25,1,1,0.25,1,NA,1,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",3,NA,0,"local area","Very liberal","NEP",0,1,NA,NA,0,1,0.375,-0.375,0.375,-0.375,"Informed",1,1,"Needle Exchange","township",9.34530940872844e-15,"low","HIGH","low","low"
61,0,1,1,0,0.75,0,1,0,0.67,0,"Democrats are more likely to support the use of needle exchanges","Independent",3,"Democratic Party",1,"district","Very liberal","NEP",0,1,28,0,0,1,0.5,-0.5,0.5,-0.5,"Informed",0,1,"Needle Exchange","state",1,NA,NA,NA,NA
62,0.25,0.5,1,0.5,0.75,NA,0.667,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Republican",3,NA,1,"district","Moderate, middle of the road","NEP",1,0,27,1,0,1,0.625,-0.125,0.125,0.125,"Informed",1,1,"Needle Exchange","state",0.99976235590456,"HIGH","low","low","HIGH"
63,0.25,0.75,0.75,0.25,1,NA,1,NA,1,0,"Democrats are more likely to support the use of needle exchanges","Democrat",1,NA,1,"district","Very liberal","NEP",0,1,23,0,0,1,0.25,-0.25,0.25,-0.25,"Informed",1,1,"Needle Exchange","state",0.81866204409767,"HIGH","low","HIGH","low"
64,0.25,0,1,0.5,1,NA,0.833,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Republican",5,NA,1,"district","Moderate, middle of the road","NEP",1,0,28,0,0,1,0.875,0.125,-0.125,0.375,"Informed",1,1,"Needle Exchange","state",0.523381605575244,"HIGH","HIGH","low","low"
65,0,1,1,0.5,1,0,1,0,1,0,"Democrats are more likely to support the use of needle exchanges","Other party (Please specify):",4,"Democratic Party",1,"district","Very liberal","NEP",0,1,28,0,0,1,0.5,-0.5,0.5,0,"Informed",0,1,"Needle Exchange","state",1.66893821541604,"low","HIGH","HIGH","low"
66,0,1,1,0.75,0.75,0,0.5,0,0.33,0,"Democrats are more likely to support the use of needle exchanges","Independent",20,"Neither",0,"local area","Somewhat conservative","NEP",NA,0,NA,NA,0,1,0.5,-0.5,0.5,0.25,"Informed",0,1,"Needle Exchange","municipality",9.34530940872844e-15,"low","HIGH","low","low"
67,0.75,0.25,0.75,0.25,1,0,0,0,0.67,1,"Democrats are more likely to support the use of needle exchanges","Republican",5,NA,1,"state","Very conservative","NEP",1,0,30,0,0,1,0.25,0.25,-0.25,-0.25,"Informed",0,1,"Needle Exchange","state",NA,"HIGH","HIGH","low","HIGH"
68,0.25,0.5,1,0.5,1,NA,1,NA,1,0,"Democrats are more likely to support the use of needle exchanges","Democrat",1,NA,1,"district","Somewhat liberal","NEP",0,1,24,0,0,1,0.625,-0.125,0.125,0.125,"Informed",1,1,"Needle Exchange","state",0.990359041190242,"HIGH","HIGH","low","HIGH"
69,0.5,0,1,0.5,0.5,NA,0.667,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",9,NA,0,"local area","Somewhat liberal","NEP",0,1,50,0,0,1,0.75,0.25,-0.25,0.25,"Unsure",1,0,"Needle Exchange","municipality",9.34530940872844e-15,"HIGH","low","HIGH","low"
70,0.5,0.75,1,0.75,1,NA,1,NA,0,0,"Democrats are more likely to support the use of needle exchanges","Democrat",2,NA,0,"local area","Somewhat liberal","NEP",0,1,NA,NA,0,1,0.375,-0.125,0.125,0.125,"Informed",1,1,"Needle Exchange","municipality",9.34530940872844e-15,"low","HIGH","low","low"
71,0,0.5,1,0.5,0,0,0.333,0,0.67,0,"Democrats are more likely to support the use of needle exchanges","Independent",6,"Neither",0,"county","Moderate, middle of the road","NEP",NA,0,NA,NA,0,1,0.75,-0.25,0.25,0.25,"Misinformed",0,0,"Needle Exchange","county",0.495051171456088,"HIGH","low","low","HIGH"
72,0.5,0,1,0.5,1,0,0.833,0,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",3,NA,0,"local area","Moderate, middle of the road","NEP",0,0,NA,NA,0,1,0.75,0.25,-0.25,0.25,"Informed",0,1,"Needle Exchange","township",9.34530940872844e-15,"low","HIGH","low","low"
73,0.5,0.75,0.5,0.75,0.75,NA,0.667,NA,0.67,0,"Neither party is more likely than the other to support the use of needle exchanges","Republican",14,NA,0,"district","Very conservative","NEP",1,0,69,0,0,0,-0.125,-0.125,0.125,0.125,"Informed",1,1,"Needle Exchange","state",3.56006785167583,"low","low","low","HIGH"
74,0.25,0.75,1,0.75,0.75,NA,0.833,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Independent",2,"Democratic Party",0,"county","Somewhat liberal","NEP",0,1,NA,NA,0,1,0.5,-0.25,0.25,0.25,"Informed",1,1,"Needle Exchange","county",0.495051171456088,"HIGH","HIGH","low","HIGH"
75,0,0.75,1,0.5,0.75,0.25,0.833,0.167,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",16,NA,0,"county","Moderate, middle of the road","NEP",0,0,46,0,0,1,0.625,-0.375,0.375,0.125,"Informed",0,1,"Needle Exchange","county",0.495051171456088,"HIGH","low","low","HIGH"
76,0,0.75,1,0.75,1,NA,0.5,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Independent",15,"Neither",0,"local area","Moderate, middle of the road","NEP",NA,0,52,1,0,1,0.625,-0.375,0.375,0.375,"Informed",1,1,"Needle Exchange","municipality",9.34530940872844e-15,"low","HIGH","HIGH","low"
77,0.25,0.5,0.75,0.5,0.25,0.25,0.667,-0.167,0.67,0,"Neither party is more likely than the other to support the use of needle exchanges","Republican",24,NA,0,"county","Moderate, middle of the road","NEP",1,0,NA,NA,0,0,0.375,-0.125,0.125,0.125,"Misinformed",0,0,"Needle Exchange","county",0.495051171456088,"HIGH","HIGH","low","low"
78,0,0.5,1,1,1,0,1,0,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",23,NA,0,"local area","Very liberal","NEP",0,1,NA,NA,0,1,0.75,-0.25,0.25,0.75,"Informed",0,1,"Needle Exchange","municipality",9.34530940872844e-15,"low","HIGH","HIGH","low"
79,0.25,1,0.25,0.75,0.5,NA,0,NA,0.67,NA,"Democrats are more likely to support the use of needle exchanges","Republican",7,NA,0,"local area","Very conservative","NEP",1,0,NA,NA,0,1,-0.375,-0.375,0.375,0.125,"Unsure",1,0,"Needle Exchange","municipality",1.01976662242037,"low","low","low","HIGH"
80,0,0.75,1,0.5,0.5,0.25,0.667,0.166,0.67,0,"Neither party is more likely than the other to support the use of needle exchanges","Republican",8,NA,1,"district","Somewhat conservative","NEP",1,0,37,1,0,0,0.625,-0.375,0.375,0.125,"Unsure",0,0,"Needle Exchange","state",0.990359041190242,"HIGH","HIGH","low","HIGH"
81,0,1,0.75,0.75,1,0,1,0,1,0,"Democrats are more likely to support the use of needle exchanges","Democrat",4,NA,0,"local area","Somewhat liberal","NEP",0,1,NA,NA,0,1,0.25,-0.5,0.5,0.25,"Informed",0,1,"Needle Exchange","municipality",9.34530940872844e-15,"low","HIGH","HIGH","low"
82,0.5,0.75,0.5,1,1,NA,0.5,NA,0.67,0,"Neither party is more likely than the other to support the use of needle exchanges","Republican",13,NA,1,"district","Somewhat conservative","NEP",1,0,57,1,0,0,-0.125,-0.125,0.125,0.375,"Informed",1,1,"Needle Exchange","state",0.468682528429356,"HIGH","HIGH","low","low"
83,0,0,0.75,0.75,0.75,NA,1,NA,1,0,"Democrats are more likely to support the use of needle exchanges","Democrat",6,NA,1,"district","Somewhat liberal","NEP",0,1,29,1,0,1,0.75,0,0,0.75,"Informed",1,1,"Needle Exchange","state",0.550565942447265,"HIGH","low","HIGH",NA
84,0.5,0.75,0.75,0.75,0.75,0,0.667,0,0.67,1,"Democrats are more likely to support the use of needle exchanges","Republican",30,NA,0,"county","Very conservative","NEP",1,0,NA,NA,0,1,0.125,-0.125,0.125,0.125,"Informed",0,1,"Needle Exchange","county",0.474967552135226,"HIGH","low","low","HIGH"
85,0.25,0.75,1,0.75,0.5,NA,0.667,NA,0.33,0,"Democrats are more likely to support the use of needle exchanges","Democrat",12,NA,0,"county","Somewhat conservative","NEP",0,0,NA,NA,0,1,0.5,-0.25,0.25,0.25,"Unsure",1,0,"Needle Exchange","county",0.495051171456088,"HIGH","low","low","HIGH"
86,0.75,0.75,0.75,0.75,0.75,NA,0.833,NA,1,0,"Democrats are more likely to support the use of needle exchanges","Democrat",20,NA,0,"local area","Moderate, middle of the road","NEP",0,0,NA,NA,0,1,0,0,0,0,"Informed",1,1,"Needle Exchange","municipality",2.29876260014031e-14,"HIGH","low","HIGH","low"
